"default","bmaxrate","amount","close","bankcardutil","rating"
0,0.2,3800,0,1,"Missing"
0,0.28,2500,1,1.04,"Missing"
0,0.28,5000,0,1.19,"Missing"
0,0.07,2000,1,0.07,"AA"
1,0.26,5050,1,0,"D"
0,0.29,4000,1,0.98,"Missing"
0,0.24,6000,0,0.52,"D"
0,0.29,2550,1,0.75,"D"
0,0.17,9200,0,0.06,"A"
0,0.2,2000,1,0.78,"D"
0,0.16,7000,0,0.98,"C"
0,0.11,3000,0,0.27,"B"
0,0.18,5000,0,0.66,"C"
0,0.28,9900,0,0.33,"D"
0,0.13,9999,0,0.61,"B"
0,0.17,1700,0,0.8,"Missing"
0,0.23,6300,0,0.76,"D"
0,0.29,3500,0,1.24,"Missing"
0,0.17,3800,0,1.1,"D"
0,0.17,1500,0,0.92,"D"
0,0.15,10000,0,0.64,"AA"
0,0.29,3005,1,0.76,"Missing"
0,0.26,2500,0,0.65,"Missing"
0,0.26,6000,1,1.06,"Missing"
0,0.29,7000,0,0.7,"D"
0,0.1,3000,0,0.05,"AA"
0,0.15,8000,0,0.84,"A"
0,0.17,17000,0,0.7,"A"
0,0.25,25000,0,0.71,"A"
0,0.28,3200,0,0.99,"Missing"
0,0.15,4200,0,0.3,"C"
0,0.26,3600,0,0.53,"Missing"
0,0.14,2500,1,0.71,"B"
0,0.2,3000,1,0.07,"D"
0,0.2,2000,0,0.77,"Missing"
0,0.28,1500,1,1,"Missing"
0,0.15,25000,1,0.37,"AA"
0,0.22,15000,0,0.94,"C"
0,0.23,6001,0,0.61,"D"
0,0.17,5000,0,0.17,"C"
0,0.15,8942,0,0,"B"
0,0.29,2500,0,0.96,"Missing"
0,0.29,3000,0,0.92,"Missing"
0,0.12,15000,0,0.09,"AA"
0,0.1,4999,0,0.06,"AA"
0,0.2,2000,1,0.88,"D"
0,0.12,1500,1,0.59,"D"
0,0.1,6500,0,0.67,"A"
0,0.25,7000,0,1.02,"C"
0,0.23,6000,0,0,"C"
0,0.09,2000,0,0.85,"A"
0,0.17,10000,0,0.76,"C"
0,0.29,4200,0,1,"Missing"
0,0.29,25000,0,0.34,"C"
0,0.11,14000,0,0.56,"AA"
0,0.21,5000,0,0.97,"D"
0,0.2,12200,0,0.35,"C"
0,0.28,5000,0,0.81,"D"
0,0.17,1500,1,0.56,"C"
0,0.24,2550,0,0,"Missing"
0,0.2,2500,0,0.78,"Missing"
0,0.22,2000,0,0,"Missing"
0,0.22,5000,0,0.93,"D"
0,0.21,5000,0,0.95,"D"
0,0.16,10999,0,0.97,"B"
0,0.24,2500,1,0.83,"D"
0,0.19,25000,0,0.72,"C"
0,0.22,2500,1,1,"Missing"
0,0.15,7000,0,0.33,"A"
0,0.15,1500,0,0.8,"C"
0,0.11,6000,0,0,"A"
0,0.15,12000,0,0.94,"B"
0,0.09,3000,0,0.71,"AA"
1,0.15,1250,0,0.74,"C"
0,0.29,1000,0,0.45,"Missing"
0,0.09,3500,0,0,"AA"
0,0.29,25000,0,0.98,"D"
0,0.15,1000,0,0,"D"
0,0.21,4900,0,0,"D"
0,0.28,5000,0,0.96,"Missing"
0,0.2,8000,0,0.91,"D"
0,0.09,3000,0,0.13,"A"
0,0.24,9999,0,0.89,"B"
0,0.1,10000,0,0.12,"A"
0,0.28,5000,0,0.95,"C"
0,0.29,25000,0,0.61,"A"
0,0.2,9000,0,1.01,"D"
0,0.25,2500,0,0,"Missing"
0,0.17,2550,0,0.25,"C"
1,0.29,4000,1,0.94,"D"
0,0.07,2500,1,0,"AA"
0,0.22,17500,0,0,"AA"
0,0.2,6001,0,0.77,"C"
0,0.28,4750,1,0.14,"Missing"
0,0.13,5500,0,0.34,"B"
0,0.13,6000,1,0.22,"A"
0,0.07,1000,0,0.07,"AA"
0,0.08,2500,1,0.24,"AA"
0,0.2,3000,0,0.98,"D"
0,0.25,5000,1,0.92,"Missing"
0,0.24,4000,0,0.7,"Missing"
0,0.2,12000,0,0.34,"C"
0,0.1,15000,0,0.21,"AA"
0,0.28,25000,0,0.73,"C"
0,0.2,3300,0,0.55,"D"
0,0.2,18000,0,0.71,"B"
1,0.29,2550,1,0,"Missing"
0,0.1,3000,0,0.14,"AA"
0,0.15,9999,0,0.31,"B"
0,0.15,5000,0,0.35,"B"
0,0.18,15000,0,0.29,"C"
0,0.18,10000,0,0.87,"C"
0,0.21,10000,0,1.01,"D"
0,0.2,5000,0,0.85,"D"
0,0.18,10000,0,0.97,"C"
0,0.09,5000,0,0.01,"AA"
0,0.2,1500,0,0.6,"Missing"
0,0.21,9975,0,0.62,"C"
0,0.08,3000,0,0.46,"AA"
0,0.15,6088,0,0.69,"B"
0,0.29,5500,0,0.99,"Missing"
0,0.11,1600,0,0.69,"B"
1,0.28,7500,1,0,"C"
0,0.15,12000,0,0.52,"C"
0,0.24,2000,0,0,"Missing"
0,0.26,2200,0,0.98,"Missing"
0,0.08,2600,0,0,"A"
0,0.08,3500,0,0.46,"AA"
0,0.29,4500,0,0.94,"Missing"
0,0.11,5000,0,0.18,"A"
0,0.21,5000,0,0,"C"
0,0.2,5000,0,0.96,"C"
0,0.08,2000,0,0.05,"AA"
0,0.21,2550,0,0.24,"Missing"
0,0.15,20000,1,0.72,"B"
0,0.09,3000,0,0,"AA"
0,0.16,5000,0,0.94,"B"
0,0.25,5000,1,0.96,"Missing"
0,0.23,10000,1,0.64,"C"
0,0.18,2750,1,0,"D"
0,0.28,10500,0,0.94,"C"
1,0.24,3200,1,0.73,"Missing"
0,0.15,9500,0,0.37,"C"
0,0.15,25000,0,0,"B"
0,0.15,4000,0,0,"C"
0,0.24,3000,0,0,"Missing"
0,0.18,7500,0,0.58,"C"
0,0.17,9500,0,0.37,"C"
0,0.09,3500,0,0.1,"AA"
1,0.29,3500,0,0,"Missing"
1,0.29,2500,1,0.82,"Missing"
0,0.16,24000,1,0.35,"A"
0,0.18,2500,0,0,"C"
0,0.13,15000,1,0.07,"AA"
0,0.11,2593,0,1.01,"Missing"
0,0.18,1500,0,0.1,"C"
0,0.24,10000,1,0.03,"A"
0,0.08,1000,0,0,"AA"
0,0.17,1675,0,0.95,"Missing"
0,0.17,10000,0,0.72,"B"
0,0.15,9999,0,0.31,"A"
0,0.2,9000,1,0.93,"D"
0,0.2,2000,1,0.87,"Missing"
0,0.2,1000,0,0,"Missing"
0,0.17,10000,0,0.28,"B"
1,0.19,23000,0,0.27,"A"
0,0.14,1500,1,0.25,"AA"
0,0.18,9800,1,0.72,"C"
1,0.29,6000,0,0.59,"Missing"
0,0.29,3000,0,0.61,"Missing"
0,0.13,5000,0,0.69,"A"
0,0.15,8000,0,0.54,"B"
0,0.29,3000,0,0.91,"Missing"
0,0.24,5250,0,0.57,"Missing"
0,0.29,1500,0,0,"Missing"
1,0.26,1200,1,0,"Missing"
0,0.29,12000,0,0.92,"C"
0,0.14,3500,0,0.94,"C"
0,0.17,1775,0,0.9,"D"
0,0.1,9000,0,0.22,"AA"
